miRNA_ID,GSM2385148,GSM2385149,GSM2385150,GSM2385151,GSM2385152,GSM2385153,GSM2385154,GSM2385155,GSM2385156,GSM2385157,GSM2385158,GSM2385159,GSM2385160,GSM2385161,GSM2385162,GSM2385163,GSM2385164,GSM2385165,GSM2385166,GSM2385167,GSM2385168,GSM2385169,GSM2385170,GSM2385171,GSM2385172,GSM2385173,GSM2385174,GSM2385175,GSM2385176,GSM2385177,GSM2385178,GSM2385179,GSM2385180,GSM2385181,GSM2385182,GSM2385183,GSM2385184,GSM2385185,GSM2385186,GSM2385187,GSM2385188,GSM2385189,GSM2385190,GSM2385191,GSM2385192,GSM2385193,GSM2385194,GSM2385195,GSM2385196,GSM2385197,GSM2385198,GSM2385199,GSM2385200,GSM2385201,GSM2385202,GSM2385203,GSM2385204,GSM2385205,GSM2385206,GSM2385207
hsa-let-7a-3p,1.47,4.0625,3.4475000000000002,2.712,2.733,30.294999999999998,2.9415,3.8850000000000002,2.811,4.0235,8.6405,4.1625,3.2775,5.3149999999999995,2.769,3.2449999999999997,4.2085,3.3345,1.6695,3.5645000000000002,1.5985,1.9265,3.2015000000000002,2.805,4.93,2.0225,3.0225,2.6614999999999998,2.6085000000000003,2.1875,2.824,4.257,2.6985,3.2664999999999997,3.7795,3.199,3.068,3.4305,4.909000000000001,2.2849999999999997,3.414,1.105,2.268,3.9375,2.0494999999999997,4.514,3.104,2.3925,2.933,3.5839999999999996,2.2864999999999998,3.192,1.985,3.3,2.9065,2.338,7.612,3.6895000000000002,2.445,3.7185
hsa-let-7a-5p,14492.504500000001,12911.9285,11628.5515,14868.7205,37150.931,41673.0955,36150.322,34617.846999999994,13185.785499999998,34016.5695,14175.978,19469.5685,11339.736499999999,17488.201500000003,9746.235499999999,35259.729,13387.2435,13600.005,34709.0775,17130.396,23358.724,30342.164500000003,44755.886,4768.1195,18580.3195,16598.4535,32798.609000000004,5017.854,13850.7125,5089.931,12903.572,14635.353500000001,9855.7245,16459.9445,18072.682500000003,47902.004499999995,19753.8215,34414.0885,62990.39,38535.909,10623.0405,8067.356,38924.7435,25760.999,35557.7375,21645.845999999998,60065.058,10393.057,5803.732,35835.512,30269.748,24304.420000000002,11021.3385,18164.3105,14075.820000000002,34855.277500000004,44335.6265,11816.1065,19178.658,36835.14
hsa-let-7b-3p,13.6935,2.896,-0.607,6.164499999999999,0.21749999999999994,1.161,-0.4299999999999999,1.3585,9.2205,25.997500000000002,-1.2819999999999998,0.172,-1.1735,3.2615000000000003,-0.8465,-0.32500000000000007,5.5045,4.6335,22.557499999999997,-2.128,-0.24949999999999997,37.606,6.8795,-1.4675,-1.544,25.4355,4.262,-0.9754999999999999,4.5235,-1.732,-1.8615,-1.366,37.593,-0.6925,0.06549999999999993,-3.694,10.4485,0.4514999999999999,2.435,-0.7979999999999999,-0.6715000000000001,-1.205,4.083,-0.696,0.3595000000000001,0.3395,0.012999999999999966,0.5079999999999999,-2.896,0.06400000000000007,-2.4195,-0.2750000000000001,-1.2655,-2.3485,12.849,-0.055500000000000035,-0.13750000000000004,-1.5195,3.4535000000000005,0.4034999999999999
hsa-let-7b-5p,8624.163,14868.3515,8797.22,3811.1684999999998,27200.8515,25355.1375,17011.162,13554.007500000002,2821.2670000000003,13885.449499999999,4353.5,8132.8035,3896.1894999999995,3127.1475,2318.3765,19068.691,5345.5785000000005,3773.3675000000003,11445.036,4563.021,5868.1115,14106.469000000001,11599.545,1040.3809999999999,6126.1375,4958.84,13102.552,1981.452,3617.9660000000003,1277.7815,9550.902,3586.0575,4657.133,2669.7335,17361.891,20115.151,6998.3415,8452.104,16104.353,26649.4125,3098.8755,1942.5704999999998,24407.6865,11591.561,15033.9005,4151.907499999999,20079.677,4138.1985,1278.617,11532.6375,8470.4635,16863.749,5058.406,7550.909,3958.4489999999996,23965.129500000003,32135.953499999996,2868.0675,11521.727,18072.250500000002
hsa-let-7c-3p,5.133,1.6219999999999999,-0.7969999999999999,3.0085,0.588,30.249000000000002,1.6085,0.659,3.032,7.971500000000001,0.3045,0.05200000000000003,-0.975,3.8865000000000003,0.10949999999999997,0.19250000000000006,2.182,2.6149999999999998,7.034000000000001,-1.315,0.3225,11.644499999999999,1.516,-0.5955,-1.0885,8.795,2.1675,-0.9345000000000001,2.153,-2.662,-0.9475,0.58,10.994499999999999,-0.5015,-0.626,-1.3635,3.136,1.213,1.064,-0.563,-0.8155000000000001,-0.07500000000000002,0.8795,-0.34950000000000003,-0.1705,0.20200000000000004,-0.21249999999999997,-0.5065000000000001,-0.2885,-0.41200000000000003,-1.686,-0.46299999999999997,-0.5795,-0.3785,4.9365000000000006,-0.36950000000000005,-0.5509999999999999,0.08450000000000005,1.7945,-0.9435
hsa-let-7c-5p,1625.9425,2694.4155,1318.501,665.887,4472.375,4568.5585,2873.2884999999997,2485.2560000000003,567.2305,2544.8735,802.9705,1368.206,696.129,516.992,273.7445,2161.544,1025.76,686.3685,2077.934,809.044,1214.5565000000001,2656.6095,2153.4655,151.07250000000002,1051.1889999999999,949.8545,2464.843,231.477,668.8309999999999,160.8075,1139.4865,683.123,644.647,513.2435,2809.2205000000004,3735.667,1046.7585,1806.7585,3773.0989999999997,4189.971500000001,541.9680000000001,307.14300000000003,3651.682,2391.024,2834.921,681.8485,4656.335499999999,920.5899999999999,151.8285,2092.7605,1583.971,2660.0495,775.5145,1256.2440000000001,591.3154999999999,3706.987,5632.1089999999995,552.736,2128.2835,1924.5655
hsa-let-7d-3p,24.6815,7.101000000000001,1.6029999999999998,13.043000000000001,6.85,10.211,4.3205,6.38,13.913,34.5205,10.7555,5.2545,12.782,6.352,2.038,4.2095,11.3195,8.7285,30.701,8.758500000000002,5.6594999999999995,44.074,10.5865,0.32450000000000007,5.4384999999999994,33.003,7.6834999999999996,1.3245,10.77,0.16349999999999998,3.3949999999999996,2.787,37.662,10.355,2.628,4.112,16.2885,2.9565,5.929,3.3549999999999995,3.3644999999999996,2.564,7.537999999999999,4.8155,3.942,3.528,6.006,4.919,1.26,5.24,2.9545,4.564,2.6689999999999996,11.368500000000001,15.0755,6.333,4.5595,3.8579999999999997,8.01,3.2415
hsa-let-7d-5p,4891.002,3571.1324999999997,4085.5305,4377.464,10426.155499999999,14018.304999999998,11224.327000000001,8901.1325,3592.0395000000003,8707.672,4706.6145,6066.3550000000005,3869.3025000000002,4351.11,3181.495,11359.795,3803.7644999999998,3809.4175000000005,9734.564999999999,4695.564,5852.657,7513.088000000001,12646.6245,1558.6615,5739.41,4680.25,8497.77,1787.1315,3930.432,1580.468,4109.961,3998.846,3755.5989999999997,5259.306,4661.897,14889.510999999999,6012.4365,8793.6045,16754.9385,10222.215,3423.178,2314.6265,11191.899000000001,6365.2905,11301.030499999999,5932.674,14618.592499999999,2954.5190000000002,1835.226,10207.391,8682.0845,6311.478499999999,3164.4625,5591.345,4387.6585,11119.22,13151.172,3135.288,4831.7815,9448.749
hsa-let-7e-3p,7.553,0.4455,10.598,2.864,-1.9899999999999998,-1.2590000000000001,-1.813,0.7655,5.661,18.9785,-3.246,-1.1855,-1.567,3.3519999999999994,-0.7040000000000001,-1.16,2.882,1.707,18.0305,-2.001,-1.5495,26.038,3.2215000000000003,-1.1595,-2.1545,19.304499999999997,3.0555,-2.0275,2.4595,-2.5085,-1.592,-1.9134999999999998,24.7035,-1.562,-1.25,-3.0275,7.669,-1.367,-0.683,-2.7905,0.6760000000000002,-1.9774999999999998,2.6414999999999997,-1.941,-0.25349999999999995,0.929,-0.909,-2.535,-2.3995,-3.0215,-1.6215,-0.8785000000000001,-2.952,-2.6060000000000003,8.8545,-2.5945,0.25200000000000033,-0.8074999999999999,2.848,-1.5939999999999999
hsa-let-7e-5p,15.092000000000002,10.581999999999999,8.987,10.174,19.558500000000002,42.2485,20.488,19.473499999999998,7.886,12.6415,9.3055,16.7305,7.7219999999999995,11.773,9.1175,14.6945,7.3965000000000005,11.254000000000001,14.297999999999998,12.1975,13.534,4.138,28.82,4.096,12.6095,4.0969999999999995,19.7845,3.6505,7.7565,4.228,7.711,13.1825,-1.0215,16.131999999999998,10.761,24.4145,10.915000000000001,21.944499999999998,38.256,23.25,9.4145,5.822,21.583000000000002,14.453,21.729,15.334999999999999,31.858999999999998,6.167,6.111,24.8545,57.419000000000004,14.6065,7.588500000000001,17.4465,39.6055,20.747999999999998,27.6595,9.074,10.817499999999999,19.3095
